country,admin1,population,events,score
Egypt,Suez,552951,217,3
Egypt,Sohag,1450685,74,2
Equatorial Guinea,Bioko Norte,68481,53,2
Equatorial Guinea,Bioko Sur,14997,2,1
Equatorial Guinea,Centro Sur,14936,2,1
Equatorial Guinea,Kie-Ntem,12615,4,1
Equatorial Guinea,Litoral,43604,16,1
Equatorial Guinea,Wele-Nzas,30113,3,1
Eritrea,Anseba,13801,4,1
Eritrea,Debub,130705,72,2
Eritrea,Debubawi Keih Bahri,13575,41,1
Eritrea,Gash Barka,58145,173,2
Eritrea,Maekel,130271,86,2
Eritrea,Semienawi Keih Bahri,41315,33,1
eSwatini,Hhohho,69778,310,3
eSwatini,Lubombo,50336,119,2
eSwatini,Manzini,74694,300,3
eSwatini,Shiselweni,33925,103,2
Ethiopia,Addis Ababa,2106452,558,3
Ethiopia,Oromia,6630216,5861,3
Ethiopia,Afar,226839,402,3
Ethiopia,Tigray,1384255,1648,3
Ethiopia,Amhara,3231490,3935,3
Ethiopia,Benshangul/Gumuz,120477,297,3
Ethiopia,Gambela,163142,253,3
Ethiopia,Dire Dawa,87927,101,2
Ethiopia,Harari,71360,55,2
Ethiopia,Somali,700929,1029,3
Ethiopia,South Ethiopia Region,894617,254,3
Ethiopia,South West,257845,61,2
Ethiopia,Central Ethiopia,441984,141,2
Ethiopia,Sidama,419080,99,2
Gabon,Estuaire,212765,356,3
Gabon,Haut-Ogooue,96346,32,1
Gabon,Moyen-Ogooue,8056,19,1
Gabon,Ngounie,12054,14,1
Gabon,Nyanga,3844,13,1
Gabon,Ogooue-Ivindo,22578,15,1
Gabon,Ogooue-Lolo,6665,14,1
Gabon,Ogooue-Maritime,15222,58,2
Gabon,Woleu-Ntem,32861,16,1
Gambia,Banjul,74315,130,2
Gambia,Basse,62018,13,1
Gambia,Brikama,449299,85,2
Gambia,Janjanbureh,12172,7,1
Gambia,Central River,2838,3,1
Gambia,Kanifing,372018,57,2
Gambia,Kerewan,96677,14,1
Gambia,Mansakonko,11775,4,1
Ghana,Ahafo,113029,34,1
Ghana,Ashanti,3165809,455,3
Ghana,Bono,298865,64,2
Ghana,Bono East,133949,56,2
Ghana,Central,1040895,236,3
Ghana,Eastern,845892,235,3
Ghana,Greater Accra,3055351,712,3
Ghana,North East,127697,106,2
Ghana,Savannah,82812,69,2
Ghana,Northern,468695,206,3
Ghana,Upper East,229567,189,2
Ghana,Upper West,77459,61,2
Ghana,Volta,380331,94,2
Ghana,Oti,60142,35,1
Ghana,Western,880291,140,2
Ghana,Western North,65753,36,1
Guinea,Boke,191278,272,3
Guinea,Conakry,8831,1061,3
Guinea,Faranah,155210,147,2
